Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	5.4264943048533606e-05	0.0012895421900961674	-5082.055064261607
ICIR-RBF	0.000671725427803695	0.014557826258604377	-5103.884466091511
IR-EXP	4.84049038608995e-05	0.001028670876396982	-5081.583711598192
Naive	0.0007674112259225572	0.017007884601862925	-5143.2801806393745
BLC	0.0015358611705203577	0.0327708696058484	-5471.694904706599
IMMSBM	0.0007081313006433669	0.015387468920710107	-5092.807621580365
CoC	6.958174527240523e-05	0.0017849850229306474	-5083.0266685658835
Random	0.2258574034827836	106.28270872567631	-57490.76124383914
