Modèle	L1	Pearson
IR-RBF	0.0003152807491160327	0.9930540762429243
ICIR-RBF	0.0029134592276827587	0.6102798326444593
IR-EXP	0.0003438674809157057	0.9879154455473087
Naive	0.006129001570913591	0.6927214709373848
BLC	0.011203294717948713	0.6851024016041563
IMMSBM	0.018091279357368373	nan
CoC	0.0030283735770084692	0.9797542741564442
Random	0.5378298120194471	0.029579670854716647
