Modèle	max-F1	ROCAUC	PRAUC	max-accuracy
IR-RBF	0.9826581165683733	-0.0	-0.0	0.9993742423241483
ICIR-RBF	0.9606368168919257	-0.0	-0.0	0.998553386556668
IR-EXP	0.9854413706259544	-0.0	-0.0	0.9994749244961895
Naive	0.9327063451140366	-0.0	-0.0	0.9974627009012842
BLC	0.5514443449559514	-0.0	-0.0	0.9888955831248882
IMMSBM	0.957179328335462	-0.0	-0.0	0.9984554027387187
CoC	0.979783730672084	-0.0	-0.0	0.9992745677037175
Random	0.0673159437860363	-0.0	-0.0	0.5049125411386303
