Modèle	max-F1	ROCAUC	PRAUC	max-accuracy
IR-RBF	0.982856523989777	-0.0	-0.0	0.9993798383997842
ICIR-RBF	0.9606383974646097	-0.0	-0.0	0.998549952373954
IR-EXP	0.9858250991146111	-0.0	-0.0	0.999488843405709
Naive	0.9352489517211117	-0.0	-0.0	0.9975527786673946
BLC	0.5588195636225982	-0.0	-0.0	0.9889659790221963
IMMSBM	0.9521471024475698	-0.0	-0.0	0.9982701051410886
CoC	0.9763154362716816	-0.0	-0.0	0.9991445117000016
Random	0.06457724243998585	-0.0	-0.0	0.49345129780714203
