Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	7.212551551081906e-05	0.0021659006356936103	-5143.039862955922
ICIR-RBF	0.0006455076391394788	0.013934570976109461	-5163.223580505908
IR-EXP	5.543503151125917e-05	0.0015301779405182698	-5142.52460828271
Naive	0.000756279428595554	0.016499125178534253	-5203.767706952014
BLC	0.0015133479645515022	0.03077238527659968	-5522.403323611412
IMMSBM	0.0007119003814635759	0.014526653890955017	-5155.472279365436
CoC	7.155477849555242e-05	0.0019782837617619113	-5144.210454290042
Random	0.19875441316217768	90.03762563328563	-46122.235837498745
