Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	5.762769382481711e-05	0.001209816338959657	-5218.288955634906
ICIR-RBF	0.0006624607901246865	0.014205953326735122	-5240.561646874271
IR-EXP	4.252950987020107e-05	0.0008971555231146121	-5217.726266445305
Naive	0.0007729981689184633	0.016756186975226246	-5275.919659553976
BLC	0.0014707798612580945	0.030692058903838068	-5621.090750091881
IMMSBM	0.0006600794586337502	0.013923847287568647	-5228.7569812923875
CoC	6.769280572797604e-05	0.0015384510885882003	-5237.394660029289
Random	0.21224790114408099	97.48903420715686	-55737.39955408544
