Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	6.0355253573955366e-05	0.0013865643695860782	-5193.218319436626
ICIR-RBF	0.0005389093242087416	0.012312495821069473	-5212.884643179513
IR-EXP	5.4140254643244384e-05	0.0011316229560335179	-5192.692256801395
Naive	0.0006118341580025696	0.014310149902800155	-5248.00783158741
BLC	0.0015732847485454774	0.032738792513343246	-5584.637906684594
IMMSBM	0.0005567269566658962	0.012927643336132848	-5205.317209206583
CoC	6.688348168348932e-05	0.0014643215106721055	-5206.067313779118
Random	0.20117658903447497	88.3790419934669	-49566.52723868284
