Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	4.660056497014629e-05	0.0012864218972324908	-5206.977243333856
ICIR-RBF	0.0006279758943025503	0.013538992300622655	-5227.549540820597
IR-EXP	4.325396579533938e-05	0.0010920679796298403	-5206.684067772968
Naive	0.0007177091837031278	0.01585975281224666	-5266.803179712997
BLC	0.001543731613443699	0.033614037046307235	-5575.470651245377
IMMSBM	0.0007776558707043409	0.016886744618276682	-5220.046432377686
CoC	6.0357667416734236e-05	0.001616681636950181	-5208.318576130325
Random	0.20813975666396678	94.1148955736897	-53512.9953752185
