Modèle	max-F1	ROCAUC	PRAUC	max-accuracy
IR-RBF	0.9816518168496505	-0.0	-0.0	0.9978708536141306
ICIR-RBF	0.9645057287378493	-0.0	-0.0	0.9957761023266473
IR-EXP	0.9855445863398196	-0.0	-0.0	0.9983264195373467
Naive	0.906677906729973	-0.0	-0.0	0.9881352490155076
BLC	0.7936446317552309	-0.0	-0.0	0.9802750673597725
IMMSBM	0.9537988668335294	-0.0	-0.0	0.9946387476270496
CoC	0.9708038970404963	-0.0	-0.0	0.9965559116720039
Random	0.19635965619960652	-0.0	-0.0	0.5393782319297485
