Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	4.33286222361806e-05	0.00426685938907331	-3819.81328319708
ICIR-RBF	0.0008807002885438953	0.10167546596017923	-3838.3897247798727
IR-EXP	3.093830174009437e-05	0.0030795338792722633	-3819.433949929355
Naive	0.0012692489575607676	0.14586235664465752	-3886.188513421632
BLC	0.0017284649262731073	0.14484010392431704	-3908.246580350762
IMMSBM	0.0001312362922015317	0.013039395868138386	-3824.1227186528
CoC	4.7042274595617154e-05	0.0046199368913355035	-3820.7164605527696
Random	0.15907510376874243	88.66617365861799	-18397.804731273332
