Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	3.9294444860826325e-05	0.004021165353810232	-3850.240947309337
ICIR-RBF	0.0007746796973746401	0.09080269945735248	-3866.2188043291426
IR-EXP	2.9183054373836473e-05	0.0030575733932158484	-3849.820512747561
Naive	0.0012041248650523537	0.13926484660088936	-3920.4182479984506
BLC	0.0019941065263640316	0.16724662355524345	-3943.7806201264175
IMMSBM	0.00017465683394531794	0.01800996682438518	-3856.36585125159
CoC	4.635504397645587e-05	0.004685672195358525	-3851.636162833326
Random	0.15525501988436186	84.93323247050935	-15696.181832396529
