Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	4.472812232818602e-05	0.0044374693673284345	-3781.7230829461196
ICIR-RBF	0.0009021522330991825	0.10457264479103173	-3799.6228246269325
IR-EXP	2.8193793509551736e-05	0.0028075535553197025	-3781.0993232569544
Naive	0.0013744663810767428	0.1578622006929502	-3853.4295346252343
BLC	0.0016838979270827282	0.14105780858792005	-3865.312040566017
IMMSBM	0.0001451175424908699	0.01446849746178135	-3786.408649970915
CoC	4.6981225875534344e-05	0.004618530984829081	-3782.8170779467887
Random	0.15781953385865713	86.35377241113082	-19272.635961129094
