Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	3.625419190247716e-05	0.0035895773554047725	-3734.723974740485
ICIR-RBF	0.0009129972087491195	0.10549174300076741	-3752.954101680549
IR-EXP	2.65704791248981e-05	0.00263298007350923	-3734.4416536178915
Naive	0.0013495525041591655	0.15488246240326434	-3805.220939648453
BLC	0.0016956320591842748	0.1416315171736314	-3817.3634339941045
IMMSBM	0.0001484853517029144	0.014807033658765187	-3739.642186313654
CoC	4.3854408814770757e-05	0.004335387332707243	-3735.8680186292127
Random	0.1607226066669215	88.21646213844647	-17640.11860384107
