Modèle	L1	Pearson
IR-RBF	0.0008364582564543551	0.9701428426996478
ICIR-RBF	0.008431056265590849	0.02824547738706749
IR-EXP	0.0009101829247743828	0.9720417630583335
Naive	0.02229396850659676	0.5087308476929001
BLC	0.02078332120442125	0.5436841901320724
IMMSBM	0.05828979083792209	nan
CoC	0.0018754403955360806	0.9738540232870214
Random	0.44886778241117614	0.017443695023796106
