Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	5.262907537698685e-05	0.005376360979729759	-3917.4556818414453
ICIR-RBF	0.0007697570238645704	0.08914318901307794	-3932.4413822795827
IR-EXP	3.360381006866957e-05	0.003503541819723732	-3916.678887971022
Naive	0.0011173114941497328	0.12868355863675546	-3978.236092845805
BLC	0.0020470294090276326	0.17336082781188333	-4022.4220768085293
IMMSBM	0.00016591770819806024	0.01710107400602343	-3922.5658402580534
CoC	4.122851264891817e-05	0.004313704617287641	-3916.9570282085815
Random	0.15457926073292108	83.48685209707891	-16444.131184028276
