Modèle	L1	Pearson
IR-RBF	0.0008065814840565081	0.9721950406598927
ICIR-RBF	0.008214746305112071	0.049501910493780964
IR-EXP	0.0009468477938198728	0.9679362012590349
Naive	0.022334000301832295	0.5194894862454609
BLC	0.020453619312908015	0.5628146720128584
IMMSBM	0.058418093587326005	nan
CoC	0.002151329813420617	0.9590548307711204
Random	0.4668076967727914	0.008861183722034637
