Modèle	max-F1	ROCAUC	PRAUC	max-accuracy
IR-RBF	0.9737089993253204	-0.0	-0.0	0.9878740692890916
ICIR-RBF	0.8517727092216162	-0.0	-0.0	0.9336595746009458
IR-EXP	0.8140588802003388	-0.0	-0.0	0.9142020772034498
Naive	0.82425954309892	-0.0	-0.0	0.9219831139513254
BLC	0.8252353144706053	-0.0	-0.0	0.9224105818641907
IMMSBM	0.7711855479576979	-0.0	-0.0	0.8944660187503051
CoC	0.9765502215018048	-0.0	-0.0	0.9891724331279378
Random	0.5291503928664468	-0.0	-0.0	0.6567646040445713
