Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	0.002355575180561762	18.523675032111697	-53.16353165256991
ICIR-RBF	0.010066080940676023	139.3727928256983	-57.780820684957675
IR-EXP	0.009488648847088067	122.45542401837412	-56.98736200814018
Naive	0.010483085669997847	145.65187286151686	-58.02672066959314
BLC	0.010292595076130819	141.25637864130772	-57.81371332971261
IMMSBM	0.0172887126471522	220.0198086934442	-60.7808132251967
CoC	0.00948079898746208	122.9890541955319	-57.027153427074765
Random	0.08404004086497707	1390.6224612096385	-111.91806974942558
