Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	0.002295287157706695	18.697925024479094	-53.53838554013848
ICIR-RBF	0.01000440929699359	140.78907064351074	-58.21670840967202
IR-EXP	0.00928163766132518	122.06531437244479	-57.35635939492247
Naive	0.010402779281499278	146.65412225685347	-58.47247023260534
BLC	0.010182030585739433	142.25182653167658	-58.252903564339476
IMMSBM	0.01719942013574276	221.0743260333657	-61.22949683882447
CoC	0.009410306816067261	124.33592734549194	-57.46617118413914
Random	0.08549571874111483	1428.5314040850858	-114.33486206167689
