Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	0.0022204100747331393	18.031400446928995	-53.29541983726442
ICIR-RBF	0.009948966727178434	138.49732479269676	-57.928054446587296
IR-EXP	0.009366960583488603	121.78369536340858	-57.12221728418268
Naive	0.010340706597981069	144.44877653572792	-58.161872906257805
BLC	0.010154017564250486	140.24920676635688	-57.95450945336707
IMMSBM	0.017321700168697062	222.0344025658926	-61.00468975419759
CoC	0.009421434434857837	123.12291085991023	-57.20939623761225
Random	0.08645124104668603	1441.0860908702257	-114.72713733779723
