Modèle	L1	Pearson
IR-RBF	0.006536551789061037	0.9978540102162727
ICIR-RBF	0.06510324524759104	0.5526022121251019
IR-EXP	0.08620351392300597	0.49778811010402485
Naive	0.07508613847730222	0.38520167688346474
BLC	0.07800840815742936	0.39950751137292784
IMMSBM	0.22998404306289866	nan
CoC	0.0027271732847011904	0.9971315984794196
Random	0.3387431226046274	-0.003387848566999245
