Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	0.00022399282262316344	0.12163005073457445	-873.49426035934
ICIR-RBF	0.008067539143180365	8.255201840352422	-954.5894318750711
IR-EXP	0.008686546124496087	8.474111351450846	-951.8908306088523
Naive	0.009884735047967441	9.99132798793456	-970.2617789386949
BLC	0.009577315757217467	9.668134437499692	-966.1692999865696
IMMSBM	0.013847729595363938	11.861789692594169	-992.2853999890104
CoC	0.00017972677353193358	0.10242376789812727	-873.1890947818007
Random	0.07887921528020646	85.0052766254461	-1798.4935103903758
