Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	0.002257028059679678	18.218352673468726	-53.614703153570915
ICIR-RBF	0.009934084526476632	139.28246640260443	-58.280906988808525
IR-EXP	0.009332788296501233	121.48196054111999	-57.44135923193919
Naive	0.010317554746613566	144.99841692987678	-58.517632092935074
BLC	0.010094143178254055	140.46558927559667	-58.294410466910925
IMMSBM	0.017349692676088144	223.5170047599198	-61.38564410122911
CoC	0.009314412658574543	122.00757684545903	-57.4899745209968
Random	0.08519341592957617	1425.0684800954766	-115.37945132430538
