Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	0.00022181751267186494	0.1223421024469695	-870.7886505321219
ICIR-RBF	0.008090866525685022	8.228156605803214	-951.1836326712538
IR-EXP	0.00887923449491459	8.57382008781045	-949.6206294331896
Naive	0.009940323285125664	9.998788107995914	-967.0767120072312
BLC	0.009670997494814808	9.697184011219445	-963.2062218247154
IMMSBM	0.013096606941784005	11.336620294840117	-984.2132276558119
CoC	0.00025566413894864085	0.15916872453167624	-871.0884292835581
Random	0.08084297084299313	89.65216823863183	-1817.8181395259628
