Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	0.00021950431144633487	0.11516668204428583	-867.135341241131
ICIR-RBF	0.008120868277938743	8.249693220384142	-948.1153646591052
IR-EXP	0.00888292699780681	8.5657772563865	-946.2819675929403
Naive	0.009982906758896423	10.020568524181986	-964.1800999056205
BLC	0.009703299864681632	9.703302467794845	-960.18460237944
IMMSBM	0.01441214527952894	12.113537895014126	-989.163805015039
CoC	0.00017986273222701012	0.0926669305621369	-866.8612628437038
Random	0.07708623956903496	81.3216136160163	-1760.4246398576695
