Modèle	L1	Pearson
IR-RBF	0.011272284020877531	0.9955424179634904
ICIR-RBF	0.06628063958467743	0.6493846458034211
IR-EXP	0.07367323313938327	0.6894985449521386
Naive	0.06664070030819715	0.6207803635875216
BLC	0.06914470411072152	0.6276146845827976
IMMSBM	0.2286101846823284	nan
CoC	0.07326450182942618	0.686361721457357
Random	0.3522619906181803	0.0014703862496108465
