Modèle	max-F1	ROCAUC	PRAUC	max-accuracy
IR-RBF	0.9812537903985215	-0.0	-0.0	0.9847370414872977
ICIR-RBF	0.9350132324406363	-0.0	-0.0	0.944913763694761
IR-EXP	0.9680162116538437	-0.0	-0.0	0.9741860125337768
Naive	0.944617837231044	-0.0	-0.0	0.954780752222635
BLC	0.9547066166538465	-0.0	-0.0	0.9622275068727519
IMMSBM	0.796154307055435	-0.0	-0.0	0.8127595968031047
CoC	0.963603392727893	-0.0	-0.0	0.9709864661885355
Random	0.5223296510113491	-0.0	-0.0	0.5829321994296637
