Modèle	L1	Pearson
IR-RBF	0.0023826037071926595	0.9979618792128135
ICIR-RBF	0.04091052580397358	0.9386356710968442
IR-EXP	0.02101734454788197	0.9626884933288458
Naive	0.07156742975002586	0.9200174977054746
BLC	0.029032462519525824	0.9332364487742932
IMMSBM	0.40230645496056455	nan
CoC	0.002290955429619832	0.9970441795948219
Random	0.40594226567539454	0.1382043429568203
