Modèle	L1	Pearson
IR-RBF	0.002620565872545049	0.997913863275464
ICIR-RBF	0.043375186883433135	0.9396643863771548
IR-EXP	0.022215530580210537	0.9623123897755064
Naive	0.0729411205437189	0.9192563672974166
BLC	0.02956417009831545	0.9358578536662654
IMMSBM	0.40487494811124947	nan
CoC	0.004837533565121585	0.9961611748905881
Random	0.45507622351900395	-0.0690563455777136
