Modèle	JensenShannonDiv	BrierScore	CrossEntropy
IR-RBF	0.00786508453116708	1.157689414640544	-73.88759743957823
ICIR-RBF	0.019218111054348425	3.6750562297138205	-78.26138306757176
IR-EXP	0.006677556269866889	1.068809925433272	-74.27445898138748
Naive	0.017289123947533375	2.943185370654856	-80.18596554802001
BLC	0.012894163440329653	1.8937711508616575	-75.60417326962899
IMMSBM	0.093848576050239	22.12167652197243	-144.35754034519994
CoC	0.007753352499690894	1.1773844774119269	-73.92666076306124
Random	0.11303263293815582	28.64190224084223	-249.1158107046874
